process,description,unit,tag,is_control,importance,process_time,process_order,process_group
Mix,い㎝(NaOH),,SSAP-FJ2011.PV,,H,3,1,1
Mix,い㎝(AA),,SSAP-FJ202A.PV,,H,3,1,1
Mix,い㎝(AA),,SSAP-FJ202B.PV,,H,3,1,1
dope_tank,,,SSAP-LT109.PV,,,,2,
dope_tank,,,SSAP-LT110.PV,,,,2,
dope_tank,SAP,,SSAP-FR111B.PV,,,,2,
dope_tank,SAP,,SSAP-FR111D.PV,,,,2,
dope_tank,は莱佳睪,,SSAP-LT109.PV,,,,2,
dope_tank,は莱佳睪,,SSAP-LT110.PV,,,,2,
sub_recipe,祇獁警,,SSAP-FT1170.PV,,,5,3,2
sub_recipe,祇獁警,,SSAP-FT1173.PV,,,5,3,2
sub_recipe,祇獁警,,SSAP-FT1160.PV,,,5,3,2
sub_recipe,祇獁警,,SSAP-FT1163.PV,,,5,3,2
sub_recipe,灿,,SSAP-WV117A.PV  ,,,5,3,2
sub_recipe,灿,,SSAP-WV117B.PV,,,5,3,2
react,琜爵警,,SSAP-FJ2031.PV,,,20,4,2
dry,,,,,,20,5,2
filter,,,,,,15,6,2
half_tank,Θ珇纗佳,kg/hr,SSAP-LT170A-F ,N,,,7,
half_tank,,,SSAP-WV183.PV,,,,7,
half_tank,Θ珇纗佳,kg/hr,SSAP-LT170B-F,N,,,7,
W183,W183秖,Kg/H,SSAP-WV183.PV,Y,H,5,8,3
W183,W183佳,,SSAP-WT183.PV,N,,5,8,3
W183,J-184锣硉,HZ,SSAP-SSJ184.PV,Y,H,5,8,3
W183,J-184筿瑈,A,SSAP-MJ184.PV,N,,5,8,3
W183,EC睰秖,kg/H,SSAP-FP-182.PV,Y,H,5,8,3
W183,EC睰秖,kg/H,SSAP-FJ1843.PV,Y,H,5,8,3
W183,F-189痷,mmH2O,SSAP-DPF189.PV,N,,5,8,3
W183,B189秖,m3/H,SSAP-FB189.PV,N,H,5,8,3
W183,F-189放,,SSAP-TTF189.PV,N,,5,8,3
W183,PVU01-S18溃,kg/cm2,SSAP-PVU01.PV,N,H,5,8,3
D185A,D185A楞,%,SSAP-HD185A.PV,N,H,30,9,3
D185A,D185A痷,,SSAP-PD185A.PV,Y,H,30,9,3
D185A,PD185A1-S18溃,kg/cm2,SSAP-PD185A1.PV,Y,H,30,9,3
D185A,PD185A2-S18溃,kg/cm2,SSAP-PD185A2.PV,Y,H,30,9,3
D185A,D185A筿瑈,A,SSAP-MD185A.PV,N,H,30,9,3
D185A,TD185A13 井放,,SSAP-TD185A13.PV,Y,H,30,9,3
D185A,TD185A14 井放,,SSAP-TD185A14.PV,Y,H,30,9,3
D185A,D185A籡═放,,SSAP-TD185A16.PV,Y,H,30,9,3
D185A,D185A籡═放,,SSAP-TD185A17.PV,Y,H,30,9,3
D185A,TD185A7  放,,SSAP-TD185A7.PV,N,,30,9,3
D185A,TD185A6  放,,SSAP-TD185A6.PV,N,,30,9,3
D185A,TD185A5  放,,SSAP-TD185A5.PV,N,,30,9,3
D185A,TD185A4  放,,SSAP-TD185A4.PV,N,,30,9,3
D185A,TD185A3  放,,SSAP-TD185A3.PV,N,,30,9,3
D185A,TD185A2  放,,SSAP-TD185A2.PV,N,,30,9,3
D185A,TD185A1  放,,SSAP-TD185A1.PV,Y,H,30,9,3
D185,D185干秖,Nm3/H,SSAP-FB185.PV,Y,,60,10,3
D185,D185璽溃,mm-H2O,SSAP-PD1850.PV,Y,H,60,10,3
D185,D185筿瑈,A,SSAP-MD1851.PV,N,,60,10,3
D185,放干APC-S3放,,SSAP-TE185.PV,N,,60,10,3
D185,E-185 AP瑈秖,Nm3/Hr,SSAP-FE1851.PV,N,,60,10,3
D185,E-185溃,mmH2O,SSAP-PE185.PV,N,,60,10,3
D185,D185籡═放,,SSAP-TD1851.PV,Y,H,60,10,3
D185,D185籡═放,,SSAP-TD1855.PV,Y,H,60,10,3
D185,D185 CD放,,SSAP-TD1853.PV,Y,H,60,10,3
D185,D185 CD放,,SSAP-TD1854.PV,Y,H,60,10,3
D185,D185籡溃,kg/cm2,SSAP-PD1851.PV,Y,H,60,10,3
D185,D185砰放,,SSAP-TD185A.PV,N,,60,10,3
D185,D185砰放,,SSAP-TD185C.PV,N,,60,10,3
D185,D185砰放,,SSAP-TD185E.PV,N,,60,10,3
D185,D185砰放,,SSAP-TD185F.PV,N,,60,10,3
D185,D185砰放,,SSAP-TD185G.PV,N,,60,10,3
D185,D185砰放,,SSAP-TD185H.PV,Y,H,60,10,3
D186,E-186 WR 瑈秖,T/Hr,SSAP-FD1863.PV,N,,10,11,3
D186,D-186放,,SSAP-TD1862.PV,Y,H,10,11,3
D186,D-186放,,SSAP-TD1861.PV,N,,10,11,3
D186,D-186筿瑈,A,SSAP-MD186.PV,N,,10,11,3
